Province/State,Country/Region,First confirmed date in country (Est.),1/21/2020 10:00 PM,1/22/2020 12:00 PM,1/23/2020 12:00 PM,1/24/2020 12:00 AM,1/24/2020 12:00 PM,1/25/2020 12:00 AM,1/25/2020 12:00 PM,1/25/2020 10:00 PM,1/26/2020 11:00 AM,1/26/2020 11:00 PM,1/27/2020 9:00 AM,1/27/2020 7:00 PM,1/27/2020 8:30 PM,1/28/2020 1:00 PM,1/28/2020 6:00 PM,1/28/2020 11:00 PM,1/29/2020 1:30 PM,1/29/2020 2:30 PM,1/29/2020 9:00 PM,1/30/2020 11:00 AM,1/31/2020 2:00 PM,1/31/2020 7:00 PM,2/1/2020 10:00 AM,2/2/2020 9:00 PM
Anhui,Mainland China,1/3/2020,,1,9,15,15,39,39,60,60,70,70,70,106,106,106,152,152,152,200,200,237,237,297,408
Beijing,Mainland China,1/3/2020,10,14,22,26,36,36,41,51,68,68,72,80,80,91,91,91,111,111,111,114,139,139,168,191
Chongqing,Mainland China,1/3/2020,5,6,9,27,27,57,57,75,75,110,110,110,132,132,132,147,147,147,165,182,211,238,247,300
Fujian,Mainland China,1/3/2020,,1,5,5,10,10,18,18,35,35,56,59,59,80,80,82,84,84,101,101,120,120,144,159
Gansu,Mainland China,1/3/2020,,,2,2,2,4,4,7,7,14,14,14,19,19,19,24,24,24,26,26,29,35,35,51
Guangdong,Mainland China,1/3/2020,17,26,32,53,53,78,78,98,111,146,151,151,151,207,207,241,277,277,311,354,436,436,535,683
Guangxi,Mainland China,1/3/2020,,2,5,13,23,23,23,33,36,46,46,46,51,51,51,58,58,58,78,78,87,88,100,127
Guizhou,Mainland China,1/3/2020,,1,3,3,3,4,4,5,5,7,7,7,9,9,9,9,9,9,12,12,29,29,29,46
Hainan,Mainland China,1/3/2020,,4,5,8,8,17,19,19,22,22,33,33,33,40,40,43,43,43,43,46,52,58,62,71
Hebei,Mainland China,1/3/2020,,1,1,2,2,8,8,13,13,18,18,18,33,33,33,48,48,48,65,65,82,96,96,113
Heilongjiang,Mainland China,1/3/2020,,,2,4,4,9,9,15,15,21,21,21,30,33,33,37,38,38,43,44,59,59,80,95
Henan,Mainland China,1/3/2020,,5,5,9,9,32,32,83,83,128,128,128,168,168,168,206,206,206,278,278,352,352,422,566
Hubei,Mainland China,1/3/2020,270,444,444,549,549,729,761,1052,1058,1423,1423,1423,2714,2714,3554,3554,3554,3554,4586,4903,5806,7153,7153,11177
Hunan,Mainland China,1/3/2020,1,4,9,24,24,43,43,69,69,100,100,100,100,143,143,221,221,221,277,277,332,332,389,521
Inner Mongolia,Mainland China,1/3/2020,,,,1,1,2,7,7,7,11,11,11,11,15,15,16,16,16,16,19,20,20,23,27
Jiangsu,Mainland China,1/3/2020,,1,5,9,9,18,18,31,33,47,47,47,70,70,70,99,99,99,129,129,168,168,202,271
Jiangxi,Mainland China,1/3/2020,2,2,7,7,18,18,18,36,36,48,48,72,72,72,109,109,109,109,162,162,240,240,286,391
Jilin,Mainland China,1/3/2020,,,1,3,3,4,4,4,4,6,6,6,6,8,8,9,9,9,14,14,14,14,17,31
Liaoning,Mainland China,1/3/2020,,2,3,4,4,15,17,19,21,23,27,27,27,34,34,36,39,39,39,41,48,60,63,70
Ningxia,Mainland China,1/3/2020,,1,1,1,2,3,3,4,4,4,7,7,7,11,11,12,12,12,12,17,21,21,26,28
Qinghai,Mainland China,1/3/2020,,,,,,,1,1,1,4,4,6,6,6,6,6,6,6,6,8,8,8,9,11
Shaanxi,Mainland China,1/3/2020,,,3,3,5,5,15,15,22,22,35,35,35,46,46,56,56,56,56,63,39,87,101,116
Shandong,Mainland China,1/3/2020,1,2,6,9,15,21,27,39,46,63,75,75,87,95,95,121,130,130,145,158,184,184,206,246
Shanghai,Mainland China,1/3/2020,9,9,16,20,20,33,33,40,40,53,53,53,66,66,66,80,96,96,101,112,135,153,169,193
Shanxi,Mainland China,1/3/2020,,1,1,1,1,6,6,9,9,13,13,13,20,20,27,27,27,27,35,35,39,47,47,66
Sichuan,Mainland China,1/3/2020,2,5,8,15,15,28,28,44,44,69,69,69,90,90,90,108,108,108,142,142,177,177,207,254
Tianjin,Mainland China,1/3/2020,2,4,4,5,8,8,10,13,14,14,22,23,23,24,24,25,27,27,27,31,32,32,38,48
Tibet,Mainland China,1/3/2020,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
Xinjiang,Mainland China,1/3/2020,,,2,2,2,3,3,4,4,5,5,5,5,10,10,13,13,13,14,14,17,17,18,24
Yunnan,Mainland China,1/3/2020,1,1,2,2,5,5,11,11,16,19,26,26,26,44,44,44,55,55,55,70,83,83,91,105
Zhejiang,Mainland China,1/3/2020,5,10,27,43,43,62,62,104,104,128,128,128,173,173,173,296,296,296,428,428,538,537,599,724
,Thailand,1/13/2020,2,2,3,4,5,5,7,7,8,8,8,8,8,14,14,14,14,14,14,14,19,19,19,19
,Japan,1/16/2020,1,2,2,2,2,2,2,2,4,4,4,4,4,7,7,7,7,7,11,11,15,17,17,20
,South Korea,1/21/2020,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,11,11,12,15
Taiwan,Taiwan,1/21/2020,1,1,1,1,3,3,3,3,4,4,5,5,5,8,8,8,8,8,8,9,10,10,10,10
Washington,US,1/21/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Illinois,US,1/24/2020,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
California,US,1/26/2020,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4
Arizona,US,1/26/2020,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Macau,Macau,1/22/2020,,1,2,2,2,2,2,2,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8
Hong Kong,Hong Kong,1/23/2020,,,2,2,2,5,5,5,8,8,8,8,8,8,8,8,10,10,10,10,12,13,13,15
,Singapore,1/23/2020,,,1,1,3,3,3,3,4,4,4,5,5,7,7,7,7,7,10,10,13,16,18,18
,Vietnam,1/23/2020,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6
,France,1/24/2020,,,,,2,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,6
,Nepal,1/25/2020,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Malaysia,1/25/2020,,,,,,3,3,3,4,4,4,4,4,4,4,7,7,7,7,8,8,8,8,8
Ontario,Canada,1/26/2020,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3
British Columbia,Canada,1/28/2020,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
New South Wales,Australia,1/26/2020,,,,,,,,,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
Victoria,Australia,1/26/2020,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,4
Queensland,Australia,1/27/2020,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2
,Cambodia,1/27/2020,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Sri Lanka,1/27/2020,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
Bavaria,Germany,1/27/2020,,,,,,,,,,,,,1,1,4,4,4,4,4,4,5,7,7,10
,Finland,1/29/2020,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
,United Arab Emirates,1/29/2020,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,5
,Philippines,1/29/2020,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2
,India,1/29/2020,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2
,Italy,1/31/2020,,,,,,,,,,,,,,,,,,,,,2,2,2,2
,UK,1/31/2020,,,,,,,,,,,,,,,,,,,,,2,2,2,2
,Russia,1/31/2020,,,,,,,,,,,,,,,,,,,,,2,2,2,2
,Sweden,1/31/2020,,,,,,,,,,,,,,,,,,,,,1,1,1,1
,Spain,2/1/2020,,,,,,,,,,,,,,,,,,,,,,,1,1
South Australia,Australia,2/1/2020,,,,,,,,,,,,,,,,,,,,,,,2,2
"Boston, MA",US,2/2/2020,,,,,,,,,,,,,,,,,,,,,,,,1
