Province/State,Country/Region,1/21/20 22:00,1/22/20 12:00,1/23/20 12:00,1/24/20 0:00,1/24/20 12:00,1/25/20 0:00,1/25/20 12:00,1/25/20 22:00,1/26/20 11:00,1/26/20 23:00,1/27/20 9:00,1/27/20 19:00,1/27/20 20:30,1/28/20 13:00,1/28/20 18:00,1/28/20 23:00,1/29/20 13:30,1/29/20 14:30,1/29/20 21:00,1/30/20 11:00,1/31/20 14:00,2/1/20 10:00,2/2/20 21:00,2/3/20 21:00,2/4/20 9:40,2/4/20 22:00,2/5/20 9:00,2/5/20 23:00,2/6/20 9:00,2/6/20 14:20,2/7/20 20:13,2/7/20 22:50,2/8/20 10:24,2/8/20 23:04,2/9/20 10:30,2/9/20 23:20,2/10/20 10:30,2/10/20 19:30
Anhui,Mainland China,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,3.0,5.0,7.0,14.0,14.0,20.0,23.0,23.0,34.0,34.0,47.0,47.0,59,59,72,73,88,88
Beijing,Mainland China,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,9.0,9.0,12.0,12.0,23.0,24.0,31.0,31.0,31.0,33.0,34.0,34,37,37,44,44,44
Chongqing,Mainland China,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,3.0,7.0,9.0,9.0,14.0,15.0,15.0,24.0,24.0,31.0,31.0,39,39,50,51,66,66
Fujian,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,11.0,11.0,14.0,14.0,20.0,20.0,24,26,35,35,39,39
Gansu,Mainland China,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,9.0,9.0,12,12,15,16,17,21
Guangdong,Mainland China,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,10.0,11.0,14.0,15.0,21.0,21.0,32.0,49.0,49.0,69.0,69.0,88.0,97.0,112,125,141,147,167,167
Guangxi,Mainland China,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,10.0,13.0,14.0,14.0,14.0,17.0,17.0,17,18,18,18,24,24
Guizhou,Mainland China,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,9.0,6.0,6.0,6.0,6.0,6.0,7,7,7,7,10,10
Hainan,Mainland China,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,8.0,8.0,10.0,11.0,14,15,19,19,19,19
Hebei,Mainland China,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,4.0,6.0,7.0,13.0,13.0,22.0,25.0,30,30,34,35,41,41
Heilongjiang,Mainland China,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,4.0,7.0,7.0,8.0,8.0,12.0,12.0,13,13,14,15,30,30
Henan,Mainland China,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,3.0,3.0,14.0,14.0,20.0,41.0,47.0,54.0,56.0,56.0,86.0,97.0,116,131,153,169,191,191
Hubei,Mainland China,25.0,28.0,28.0,31.0,31.0,32.0,32.0,42.0,42.0,44.0,45.0,45.0,47.0,52.0,80.0,80.0,80.0,88.0,90.0,90.0,141.0,168.0,295.0,386.0,396.0,522.0,537.0,651.0,712.0,712.0,867.0,1115.0,1218,1440,1480,1795,1854,2222
Hunan,Mainland China,,,,,,,,,,,,,,,,,,,,2.0,2.0,8.0,16.0,22.0,22.0,35.0,53.0,56.0,81.0,81.0,112.0,119.0,156,159,186,186,208,208
Inner Mongolia,Mainland China,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,5.0,5.0,5,5,5,5,5,5
Jiangsu,Mainland China,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,8.0,8.0,13.0,23.0,29.0,34.0,34.0,43.0,43.0,51,58,71,72,81,81
Jiangxi,Mainland China,,,,,,,,,,,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,7.0,9.0,18.0,18.0,19.0,27.0,27.0,37.0,37.0,37.0,45.0,55.0,55,72,73,102,105,105
Jilin,Mainland China,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4,5,12,12,13,13
Liaoning,Mainland China,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,5.0,7.0,7.0,8,8,12,12,13,13
Ningxia,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,15,13,13,13,13,13
Qinghai,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3,3,3,3,3,3
Shaanxi,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,6.0,7.0,9.0,9.0,17.0,17.0,20,25,25,26,30,30
Shandong,Mainland China,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,3.0,6.0,7.0,7.0,13.0,15.0,21.0,27.0,27.0,37.0,38.0,44,50,63,63,66,66
Shanghai,Mainland China,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,9.0,10.0,10.0,10.0,10.0,12.0,15.0,25.0,25.0,25.0,30.0,3.0,41,41,44,44,48,48
Shanxi,Mainland China,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,6.0,8.0,12.0,15.0,15.0,20,21,22,25,25,25
Sichuan,Mainland China,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,12.0,14.0,14.0,23.0,24.0,27.0,31.0,31.0,42.0,5.0,60,60,71,76,80,80
Tianjin,Mainland China,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4,4,4,4,8,8
Tibet,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0,0,0,0,0
Xinjiang,Mainland China,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,0,0,0,0,0
Yunnan,Mainland China,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,12.0,12.0,17,17,18,18,19,19
Zhejiang,Mainland China,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,14.0,21.0,36.0,43.0,48.0,63.0,78.0,81.0,94.0,94.0,123.0,127.0,175,185,201,201,242,242
Hong Kong,Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
Macau,Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1,1,1,1,1,1
Taiwan,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1,1,1,1,1,1
"Seattle, WA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1
"Chicago, IL",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,2,2
"Tempe, AZ",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Japan,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,4,4
,Thailand,,,,,,,,,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10,10,10,10,10,10
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1,3,3,3,3,3
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
,Vietnam,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1
,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1,1,1,1,1,1
"Toronto, ON",Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
British Columbia,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"Orange, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"Los Angeles, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
New South Wales,Australia,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2
Victoria,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
Queensland,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1,1,1,1,1
,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"London, ON",Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"Santa Clara, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
South Australia,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"Boston, MA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"San Benito, CA",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
"Madison, WI",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
Diamond Princess cruise ship,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
